Dates,QQQ,VIX,VVIX
2019-04-03 16:30:00,184.43,13.56,83.12
2019-04-03 17:30:00,183.93,13.98,84.14
2019-04-03 18:30:00,183.55,13.93,84.89
2019-04-03 19:30:00,183.78,13.77,84.23
2019-04-04 13:30:00,183.45,13.58,82.31
2019-04-04 14:30:00,183.37,13.49,81.67
2019-04-04 15:30:00,183.11,13.74,83.57
2019-04-04 16:30:00,183.25,13.77,83.7
2019-04-04 17:30:00,183.61,13.63,82.31
2019-04-04 18:30:00,183.51,13.57,82.4
2019-04-04 19:30:00,183.72,13.55,82.15
2019-04-05 13:30:00,184.47,13.01,79.72
2019-04-05 14:30:00,184.58,13.06,79.55
2019-04-05 15:30:00,184.64,12.95,78.79
2019-04-05 16:30:00,184.58,12.89,78.65
2019-04-05 17:30:00,184.44,12.91,78.76
2019-04-05 18:30:00,184.68,12.96,78.52
2019-04-05 19:30:00,184.66,12.78,79.1
2019-04-08 13:30:00,184.11,13.66,81.42
2019-04-08 14:30:00,184.53,13.35,80.48
2019-04-08 15:30:00,184.45,13.53,81.22
2019-04-08 16:30:00,184.745,13.39,80.77
2019-04-08 17:30:00,184.85,13.19,80.31
2019-04-08 18:30:00,185.03,13.12,80.9
2019-04-08 19:30:00,185.15,13.16,81.86
2019-04-09 13:30:00,184.99,13.81,85.25
2019-04-09 14:30:00,184.77,13.86,85.47
2019-04-09 15:30:00,185.0,13.62,84.4
2019-04-09 16:30:00,184.58,13.8,84.92
2019-04-09 17:30:00,184.42,14.04,85.36
2019-04-09 18:30:00,184.36,14.28,87.8
2019-04-09 19:30:00,184.48,14.25,88.14
2019-04-10 13:30:00,184.71,14.17,92.17
2019-04-10 14:30:00,185.14,14.02,90.71
2019-04-10 15:30:00,185.085,13.83,90.65
2019-04-10 16:30:00,184.98,13.89,90.48
2019-04-10 17:30:00,184.83,13.82,90.56
2019-04-10 18:30:00,185.4,13.42,89.64
2019-04-10 19:30:00,185.48,13.3,89.49
2019-04-11 13:30:00,185.3,13.14,87.8
2019-04-11 14:30:00,185.43,12.95,88.19
2019-04-11 15:30:00,185.1,13.27,89.47
2019-04-11 16:30:00,185.2,13.12,89.12
2019-04-11 17:30:00,184.72,13.27,88.94
2019-04-11 18:30:00,184.76,13.23,87.52
2019-04-11 19:30:00,185.06,13.09,88.06
2019-04-12 13:30:00,185.83,12.19,84.69
2019-04-12 14:30:00,185.39,12.56,85.38
2019-04-12 15:30:00,185.57,12.35,85.23
2019-04-12 16:30:00,185.61,12.28,84.94
2019-04-12 17:30:00,185.76,12.23,85.33
2019-04-12 18:30:00,185.74,12.22,85.15
2019-04-12 19:30:00,185.85,11.97,84.98
2019-04-15 13:30:00,185.0,12.64,85.82
2019-04-15 14:30:00,185.31,12.93,86.49
2019-04-15 15:30:00,185.16,12.96,86.62
2019-04-15 16:30:00,185.44,12.61,85.07
2019-04-15 17:30:00,185.69,12.46,84.02
2019-04-15 18:30:00,185.94,12.27,83.76
2019-04-15 19:30:00,185.88,12.29,84.17
2019-04-16 13:30:00,186.77,12.04,81.63
2019-04-16 14:30:00,186.58,12.14,81.98
2019-04-16 15:30:00,186.57,12.2,82.79
2019-04-16 16:30:00,186.66,12.15,82.3
2019-04-16 17:30:00,186.6,12.32,82.71
2019-04-16 18:30:00,186.52,12.09,82.65
2019-04-16 19:30:00,186.53,12.21,83.58
2019-04-17 13:30:00,187.37,12.7,83.78
2019-04-17 14:30:00,186.92,12.41,85.14
2019-04-17 15:30:00,187.09,12.98,85.39
2019-04-17 16:30:00,187.07,12.6,84.32
2019-04-17 17:30:00,186.65,12.67,85.78
2019-04-17 18:30:00,186.9,12.5,83.91
2019-04-17 19:30:00,187.14,12.54,85.55
2019-04-18 13:30:00,186.46,12.47,85.86
2019-04-18 14:30:00,186.75,12.46,84.66
2019-04-18 15:30:00,187.2,12.19,84.16
2019-04-18 16:30:00,187.12,12.33,84.84
2019-04-18 17:30:00,187.4,12.3,84.22
2019-04-18 18:30:00,187.37,12.2,84.17
2019-04-18 19:30:00,187.38,12.12,84.41
2019-04-22 13:30:00,187.26,13.08,86.85
2019-04-22 14:30:00,187.66,12.83,86.64
2019-04-22 15:30:00,187.65,12.83,85.49
2019-04-22 16:30:00,187.58,12.81,85.14
2019-04-22 17:30:00,187.79,12.62,84.64
2019-04-22 18:30:00,187.725,12.63,84.31
2019-04-22 19:30:00,187.96,12.41,83.27
2019-04-23 13:30:00,189.39,12.35,82.04
2019-04-23 14:30:00,189.78,12.39,81.76
2019-04-23 15:30:00,190.08,12.26,81.74
2019-04-23 16:30:00,190.18,12.27,80.85
2019-04-23 17:30:00,190.26,12.23,81.71
2019-04-23 18:30:00,190.34,12.14,81.38
2019-04-23 19:30:00,190.29,12.33,81.43
2019-04-24 13:30:00,190.42,12.56,81.89
2019-04-24 14:30:00,190.5,12.51,81.24
2019-04-24 15:30:00,190.19,12.81,82.42
2019-04-24 16:30:00,190.03,13.17,84.29
2019-04-24 17:30:00,190.01,12.84,83.73
2019-04-24 18:30:00,190.08,12.57,83.51
2019-04-24 19:30:00,189.69,13.05,85.17
2019-04-25 13:30:00,190.01,13.77,88.39
2019-04-25 14:30:00,190.71,13.52,86.62
2019-04-25 15:30:00,190.52,13.07,86.99
2019-04-25 16:30:00,190.6,13.03,86.11
2019-04-25 17:30:00,190.83,12.84,85.68
2019-04-25 18:30:00,190.7,13.01,85.7
2019-04-25 19:30:00,190.41,13.23,86.94
2019-04-26 13:30:00,189.52,13.33,84.35
2019-04-26 14:30:00,189.97,12.8,83.83
2019-04-26 15:30:00,189.95,12.66,83.87
2019-04-26 16:30:00,189.84,12.86,84.11
